code,name
F1110,"Opioid abuse, uncomplicated"
F1111,"Opioid abuse, in remission"
F11120,"Opioid abuse with intoxication, uncomplicated"
F11121,Opioid abuse with intoxication delirium
F11122,Opioid abuse with intoxication with perceptual disturbance
F11129,"Opioid abuse with intoxication, unspecified"
F1113,Opioid abuse with withdrawal
F1114,Opioid abuse with opioid-induced mood disorder
F11150,Opioid abuse with opioid-induced psychotic disorder with
F11151,Opioid abuse with opioid-induced psychotic disorder with
F11159,"Opioid abuse with opioid-induced psychotic disorder, unspecified"
F11181,Opioid abuse with opioid-induced sexual dysfunction
F11182,Opioid abuse with opioid-induced sleep disorder
F11188,Opioid abuse with other opioid-induced disorder
F1119,Opioid abuse with unspecified opioid-induced disorder
F1120,"Opioid dependence, uncomplicated"
F1121,"Opioid dependence, in remission"
F11220,"Opioid dependence with intoxication, uncomplicated"
F11221,Opioid dependence with intoxication delirium
F11222,Opioid dependence with intoxication with perceptual disturbance
F11229,"Opioid dependence with intoxication, unspecified"
F1123,Opioid dependence with withdrawal
F1124,Opioid dependence with opioid-induced mood disorder
F11250,Opioid dependence with opioid-induced psychotic disorder with
F11251,Opioid dependence with opioid-induced psychotic disorder with
F11259,"Opioid dependence with opioid-induced psychotic disorder, unspecified"
F11281,Opioid dependence with opioid-induced sexual dysfunction
F11282,Opioid dependence with opioid-induced sleep disorder
F11288,Opioid dependence with other opioid-induced disorder
F1129,Opioid dependence with unspecified opioid-induced disorder
F1190,"Opioid use, unspecified, uncomplicated"
F1191,"Opioid use, unspecified, in remission"
F11920,"Opioid use, unspecified with intoxication, uncomplicated"
F11921,"Opioid use, unspecified with intoxication delirium"
F11922,"Opioid use, unspecified with intoxication with perceptual"
F11929,"Opioid use, unspecified with intoxication, unspecified"
F1193,"Opioid use, unspecified with withdrawal"
F1194,"Opioid use, unspecified with opioid-induced mood disorder"
F11950,"Opioid use, unspecified with opioid-induced psychotic disorder"
F11951,"Opioid use, unspecified with opioid-induced psychotic disorder"
F11959,"Opioid use, unspecified with opioid-induced psychotic disorder,"
F11981,"Opioid use, unspecified with opioid-induced sexual dysfunction"
F11982,"Opioid use, unspecified with opioid-induced sleep disorder"
F11988,"Opioid use, unspecified with other opioid-induced disorder"
F1199,"Opioid use, unspecified with unspecified opioid-induced disorder"
T400X1A,"Poisoning by opium, accidental (unintentional)"
T400X1D,"Poisoning by opium, accidental (unintentional)"
T400X1S,"Poisoning by opium, accidental (unintentional)"
T400X2A,"Poisoning by opium, intentional self-harm"
T400X2D,"Poisoning by opium, intentional self-harm"
T400X2S,"Poisoning by opium, intentional self-harm"
T400X3A,"Poisoning by opium, assault"
T400X3D,"Poisoning by opium, assault"
T400X3S,"Poisoning by opium, assault"
T400X4A,"Poisoning by opium, undetermined"
T400X4D,"Poisoning by opium, undetermined"
T400X4S,"Poisoning by opium, undetermined"
T401X1A,"Poisoning by heroin, accidental (unintentional)"
T401X1D,"Poisoning by heroin, accidental (unintentional)"
T401X1S,"Poisoning by heroin, accidental (unintentional)"
T401X2A,"Poisoning by heroin, intentional self-harm"
T401X2D,"Poisoning by heroin, intentional self-harm"
T401X2S,"Poisoning by heroin, intentional self-harm"
T401X3A,"Poisoning by heroin, assault"
T401X3D,"Poisoning by heroin, assault"
T401X3S,"Poisoning by heroin, assault"
T401X4A,"Poisoning by heroin, undetermined"
T401X4D,"Poisoning by heroin, undetermined"
T401X4S,"Poisoning by heroin, undetermined"
T402X1A,"Poisoning by other opioids, accidental (unintentional)"
T402X1D,"Poisoning by other opioids, accidental (unintentional)"
T402X1S,"Poisoning by other opioids, accidental (unintentional)"
T402X2A,"Poisoning by other opioids, intentional self-harm"
T402X2D,"Poisoning by other opioids, intentional self-harm"
T402X2S,"Poisoning by other opioids, intentional self-harm"
T402X3A,"Poisoning by other opioids, assault"
T402X3D,"Poisoning by other opioids, assault"
T402X3S,"Poisoning by other opioids, assault"
T402X4A,"Poisoning by other opioids, undetermined"
T402X4D,"Poisoning by other opioids, undetermined"
T402X4S,"Poisoning by other opioids, undetermined"
T403X1A,"Poisoning by methadone, accidental (unintentional)"
T403X1D,"Poisoning by methadone, accidental (unintentional)"
T403X1S,"Poisoning by methadone, accidental (unintentional)"
T403X2A,"Poisoning by methadone, intentional self-harm"
T403X2D,"Poisoning by methadone, intentional self-harm"
T403X2S,"Poisoning by methadone, intentional self-harm"
T403X3A,"Poisoning by methadone, assault"
T403X3D,"Poisoning by methadone, assault"
T403X3S,"Poisoning by methadone, assault"
T403X4A,"Poisoning by methadone, undetermined"
T403X4D,"Poisoning by methadone, undetermined"
T403X4S,"Poisoning by methadone, undetermined"
T404X1A,"Poisoning by other synthetic narcotics, accidental (unintentional), initial encounter"
T404X1D,"Poisoning by other synthetic narcotics, accidental (unintentional), initial encounter"
T404X1S,"Poisoning by other synthetic narcotics, accidental (unintentional), initial encounter"
T404X2A,"Poisoning by other synthetic narcotics, intentional self-harm"
T404X2D,"Poisoning by other synthetic narcotics, intentional self-harm"
T404X2S,"Poisoning by other synthetic narcotics, intentional self-harm"
T404X3A,"Poisoning by other synthetic narcotics, assault"
T404X3D,"Poisoning by other synthetic narcotics, assault"
T404X3S,"Poisoning by other synthetic narcotics, assault"
T404X4A,"Poisoning by other synthetic narcotics, undetermined"
T404X4D,"Poisoning by other synthetic narcotics, undetermined"
T404X4S,"Poisoning by other synthetic narcotics, undetermined"
T40411A,"Poisoning by fentanyl or fentanyl analogs, accidental (unintentional)"
T40411D,"Poisoning by fentanyl or fentanyl analogs, accidental (unintentional)"
T40411S,"Poisoning by fentanyl or fentanyl analogs, accidental (unintentional)"
T40412A,"Poisoning by fentanyl or fentanyl analogs, intentional self-harm"
T40412D,"Poisoning by fentanyl or fentanyl analogs, intentional self-harm"
T40412S,"Poisoning by fentanyl or fentanyl analogs, intentional self-harm"
T40413A,"Poisoning by fentanyl or fentanyl analogs, assault"
T40413D,"Poisoning by fentanyl or fentanyl analogs, assault"
T40413S,"Poisoning by fentanyl or fentanyl analogs, assault"
T40414A,"Poisoning by fentanyl or fentanyl analogs, undetermined"
T40414D,"Poisoning by fentanyl or fentanyl analogs, undetermined"
T40414S,"Poisoning by fentanyl or fentanyl analogs, undetermined"
T40421A,"Poisoning by tramadol, accidental (unintentional)"
T40421D,"Poisoning by tramadol, accidental (unintentional)"
T40421S,"Poisoning by tramadol, accidental (unintentional)"
T40422A,"Poisoning by tramadol, intentional self-harm"
T40422D,"Poisoning by tramadol, intentional self-harm"
T40422S,"Poisoning by tramadol, intentional self-harm"
T40423A,"Poisoning by tramadol, assault"
T40423D,"Poisoning by tramadol, assault"
T40423S,"Poisoning by tramadol, assault"
T40424A,"Poisoning by tramadol, undetermined"
T40424D,"Poisoning by tramadol, undetermined"
T40424S,"Poisoning by tramadol, undetermined"
T40491A,"Poisoning by other synthetic narcotics, accidental (unintentional)"
T40491D,"Poisoning by other synthetic narcotics, accidental (unintentional)"
T40491S,"Poisoning by other synthetic narcotics, accidental (unintentional)"
T40492A,"Poisoning by other synthetic narcotics, intentional self-harm"
T40492D,"Poisoning by other synthetic narcotics, intentional self-harm"
T40492S,"Poisoning by other synthetic narcotics, intentional self-harm"
T40493A,"Poisoning by other synthetic narcotics, assault"
T40493D,"Poisoning by other synthetic narcotics, assault"
T40493S,"Poisoning by other synthetic narcotics, assault"
T40494A,"Poisoning by other synthetic narcotics, undetermined"
T40494D,"Poisoning by other synthetic narcotics, undetermined"
T40494S,"Poisoning by other synthetic narcotics, undetermined"
T40601A,"Poisoning by unspecified narcotics, accidental (unintentional)"
